Complexity,Loss,Equation
1,1.0000002,"0.0005069535"
2,0.44129005,"sin(lugs_1989)"
3,0.42164046,"lugs_1989 * 0.8875836"
4,0.42098564,"sin(lugs_1989 + 0.15806693)"
5,0.4147916,"(lugs_1989 + 0.013342358) * 0.85291827"
7,0.41279837,"(lugs_1989 * 0.5748362) - (lugs_1989 * -0.12349677)"
9,0.40565982,"lugs_1989 + (sin(lugs_1989 - sqrt(0.42648196)) * -0.1665404)"
11,0.32855672,"(0.58900523 * (lugs_1989 + (0.06663763 / sin(exp(lugs_1989))))) / 0.7851963"
12,0.30054998,"(lugs_1989 + sin(2.5417442 + (lugs_1989 * (lugs_1989 * lugs_1989)))) - 0.38826436"
19,0.22562817,"(((sin(exp(((lugs_1989 * lugs_1989) * lugs_1989) + 9.381613)) - 0.621097) + -0.16769059) + (lugs_1989 * 1.8280522)) * 0.4138657"
24,0.21356465,"(((sin(exp((lugs_1989 * (lugs_1989 * lugs_1989)) + -0.2982815)) - 0.54506415) + 0.10876912) * (lugs_1990 / (sin(lugs_1989) + 0.28690225))) + (lugs_1989 * 0.6457812)"
25,0.14095442,"((((sin((lugs_1989 * (lugs_1989 * lugs_1989)) + 1.8513258) - 0.5886282) + -0.09302381) * (lugs_1990 / (sin(lugs_1989) + 0.028057467))) + (lugs_1989 * 0.9867145)) * 0.83885133"
